Kommun,Kommunnamn,DeSO_2018,RegSO_2020,RegSOkod_2020
0114,Upplands Väsby,0114C1010,Bollstanäs,0114R001
0114,Upplands Väsby,0114C1030,Bollstanäs,0114R001
0114,Upplands Väsby,0114C1050,Bollstanäs,0114R001
0114,Upplands Väsby,0114C1180,Hammarby-Vaxmyra,0114R002
0114,Upplands Väsby,0114C1220,Hammarby-Vaxmyra,0114R002
0114,Upplands Väsby,0114C1100,Odenslunda norra-Frestaby-Ekeby,0114R003
0114,Upplands Väsby,0114C1140,Odenslunda norra-Frestaby-Ekeby,0114R003
0114,Upplands Väsby,0114C1020,Odenslunda södra-Bredden,0114R004
0114,Upplands Väsby,0114C1070,Odenslunda södra-Bredden,0114R004
0114,Upplands Väsby,0114C1160,Runby norra,0114R005
0114,Upplands Väsby,0114C1060,Runby södra-Ed,0114R006
0114,Upplands Väsby,0114C1110,Runby södra-Ed,0114R006
0114,Upplands Väsby,0114C1170,Skälby-Brunnby Vik,0114R007
0114,Upplands Väsby,0114C1190,Skälby-Brunnby Vik,0114R007
0114,Upplands Väsby,0114C1040,Smedby södra-Älvsunda,0114R008
0114,Upplands Väsby,0114C1080,Upplands Väsby centrum-Smedby norra,0114R009
0114,Upplands Väsby,0114C1090,Upplands Väsby centrum-Smedby norra,0114R009
0114,Upplands Väsby,0114A0010,Upplands Väsby omland,0114R010
0114,Upplands Väsby,0114C1120,Vilunda västra,0114R011
0114,Upplands Väsby,0114C1150,Vilunda västra,0114R011
0114,Upplands Väsby,0114C1130,Vilunda östra,0114R012
0114,Upplands Väsby,0114C1200,Vilunda östra,0114R012
0114,Upplands Väsby,0114C1210,Vilunda östra,0114R012
0115,Vallentuna,0115B3010,Karby-Brottby,0115R001
0115,Vallentuna,0115B2010,Lindholmen,0115R002
0115,Vallentuna,0115C1060,Vallentuna centrala tätort,0115R003
0115,Vallentuna,0115C1070,Vallentuna centrala tätort,0115R003
0115,Vallentuna,0115C1090,Vallentuna centrala tätort,0115R003
0115,Vallentuna,0115C1110,Vallentuna centrala tätort,0115R003
