Område,2023
Upplands Väsby (Bollstanäs),4
Upplands Väsby (Hammarby-Vaxmyra),4
Upplands Väsby (Odenslunda norra-Frestaby-Ekeby),4
Upplands Väsby (Odenslunda södra-Bredden),4
Upplands Väsby (Runby norra),4
Upplands Väsby (Runby södra-Ed),4
Upplands Väsby (Skälby-Brunnby Vik),3
Upplands Väsby (Smedby södra-Älvsunda),3
Upplands Väsby (Upplands Väsby centrum-Smedby norra),2
Upplands Väsby (Upplands Väsby omland),4
Upplands Väsby (Vilunda västra),4
Upplands Väsby (Vilunda östra),3
Vallentuna (Karby-Brottby),4
Vallentuna (Lindholmen),4
Vallentuna (Vallentuna centrala tätort),4
Vallentuna (Vallentuna landsbygd),4
Vallentuna (Vallentuna södra tätort),5
Vallentuna (Vallentuna västra tätort),4
Vallentuna (Vallentuna östra tätort),4
Österåker (Berga),4
Österåker (Brevik-Lervik-Flaxenvik),5
Österåker (Hacksta-Centrumområdet),4
Österåker (Ljusterö-omkringliggande skärgård),4
Österåker (Margeretelunds centrum),4
Österåker (Norrgårdshöjden),3
Österåker (Roslagskulla-Furusundsleden),4
Österåker (Rydbo),4
Österåker (Skånsta-Singö),4
Österåker (Stava-Smedby-Sjökarby),4
Österåker (Svinninge),5
Österåker (Söra),4
Österåker (Tuna),5
Österåker (Täljö-Runö),5
Österåker (Österskär),5
Värmdö (Björnkärret-Nyhem),4
Värmdö (Djurö-Vindö),4
Värmdö (Farstalandet-Charlottendal),4
Värmdö (Hagaberg),5
Värmdö (Hemmesta),4
Värmdö (Herrviksnäs-Strömma-Hässelmara),4
Värmdö (Ingarö norr),4
Värmdö (Ingarö söder),4
Värmdö (Kvarnberget-Hästhagen),4
Värmdö (Munkmora-Ösby grind),3
Värmdö (Mörtnäs),5
Värmdö (Norra Värdölandet-Skärgården),4
Värmdö (Ormingelandet),4
Värmdö (Skeppsdalsström),4
Värmdö (Stavsnäs),3
Värmdö (Torsby),4
Värmdö (Älvsala-Skärmarö),4
Värmdö (Ösbydalen-Holmviksskogen),4
Värmdö (Östra Ekedal-Höjdhagen),5
Järfälla (Barkarby västra-Skälby östra),4
Järfälla (Barkarby östra-Veddesta),4
Järfälla (Barkarbystaden norra),4
Järfälla (Bolinder Strand),5
Järfälla (Centrala Jakobsberg),3
Järfälla (Centrala Kallhäll),4
Järfälla (Centrala Söderhöjden),1
Järfälla (Centrala Viksjö norra),3
Järfälla (Centrala Viksjö södra),4
Järfälla (Fjällen-Fastebol),4
Järfälla (Hammaren västra),3
Järfälla (Jakobsberg norra),4
Järfälla (Jakobsberg västra),4
Järfälla (Kolarängen-Villastaden),4
Järfälla (Lädersättra),4
Järfälla (Nibble),3
Järfälla (Nyberg-Hammaren östra),2
Järfälla (Skogstorp),4
Järfälla (Skälby västra),4
Järfälla (Stäket),4
Järfälla (Tallbohov),2
Järfälla (Ulvsättra),2
Järfälla (Vibblaby),4
Järfälla (Viksjö västra),4
Järfälla (Ålsta),3
Ekerö (Adelsö-Munsö-Västra Ekerön),4
Ekerö (Ekebyhov-Träkvista-Väsby),4
Ekerö (Ekerö centrum-Östra Ekerön),4
Ekerö (Färingsö omland),4
Ekerö (Kungsberga-Färentuna-Hilleshög),4
Ekerö (Lovön),4
Ekerö (Stenhamra),4
Ekerö (Sundby-Ekerö sommarstad),4
Ekerö (Södra Färingsö),4
Ekerö (Västra Sandudden-Lundhagen-Skärvik),5
Ekerö (Älvnäs-Brunna-Närlunda),4
Huddinge (Flemingsberg västra),2
Huddinge (Flemingsberg östra),2
Huddinge (Flemingsberg-Kästa),4
Huddinge (Fullersta norra),5
Huddinge (Fullersta södra),4
Huddinge (Gladö-Lissma),4
Huddinge (Glömsta-Loviseberg),4
Huddinge (Högmora-Vidja-Ågesta),4
Huddinge (Kungens Kurva-Kråkvik),4
Huddinge (Länna),4
Huddinge (Segeltorp),4
Huddinge (Sjödalen centrala-norra),4
Huddinge (Sjödalen södra),4
Huddinge (Skogås västra),2
Huddinge (Skogås östra),4
Huddinge (Snättringe),5
Huddinge (Stuvsta),5
Huddinge (Trångsund),5
Huddinge (Trångsund centrala),3
Huddinge (Vårby gård),2
Huddinge (Vårby Haga-Masmo),2
Huddinge (Vårby Udde-Duvberget),3
Botkyrka (Albyberget),2
Botkyrka (Albydalen),2
Botkyrka (Brantbrink-Tullingeskog-Rörmossen),4
Botkyrka (Eriksberg-Sturehov),2
Botkyrka (Fittja),1
Botkyrka (Grödinge),4
Botkyrka (Hallunda),2
Botkyrka (Kassmyra-Skäcklinge),4
Botkyrka (Lanthem-Tullinge centrum-Tullingeberg),4
Botkyrka (Norsborg),1
Botkyrka (Riksten),4
Botkyrka (Slagsta),3
Botkyrka (Storvreten),2
Botkyrka (Tullinge parkhem),4
Botkyrka (Tullinge villastad),4
Botkyrka (Tumba centrum-Segersjö-Sandstugan),3
Botkyrka (Tuna),2
Botkyrka (Uttran-Broäng),4
Botkyrka (Vretarna-Hamra),4
Botkyrka (Vårsta),4
Salem (Rönninge),4
Salem (Salem västra),4
Salem (Salem östra),4
Salem (Salems centrum),3
Haninge (Brandbergen centrala),2
Haninge (Brandbergen norra),3
Haninge (Brandbergen södra),3
Haninge (Dalarö),4
Haninge (Gudö),5
Haninge (Handen centrala),3
Haninge (Handen södra),3
Haninge (Handen västra),3
Haninge (Haninge skärgård-glesbygd),4
Haninge (Jordbro centrala),1
Haninge (Jordbro norra),4
Haninge (Jordbro Södra),2
Haninge (Muskö),3
Haninge (Norrby-Vendelsö Gård),4
Haninge (Söderby),4
Haninge (Tungelsta centrala),4
Haninge (Tungelsta norra),4
Haninge (Vega centrala-Handen norra),4
Haninge (Vega norra),4
Haninge (Vega västra),4
Haninge (Vendelsö västra),4
Haninge (Vendelsö östra),4
Haninge (Vendelsömalm västra),4
Haninge (Vendelsömalm östra),4
Haninge (Västerhaninge centrala),4
Haninge (Västerhaninge norra),3
Haninge (Västerhaninge västra),4
Haninge (Västerhaninge östra),4
Tyresö (Fornudden-Drevviken),5
Tyresö (Fårdala),5
Tyresö (Granängsringen-Nyboda),2
Tyresö (Hanviken-Skälsätra),4
Tyresö (Krusboda),4
Tyresö (Lindalen),4
Tyresö (Raksta-Brevik),4
Tyresö (Sikvägen),4
Tyresö (Tyresö centrum),3
Tyresö (Tyresö Strand),5
Tyresö (Västra Farmarstigen),4
Tyresö (Västra Trollbäcken),4
Tyresö (Öringe-Kolardammarna),4
Tyresö (Östra Farmarstigen),3
Upplands-Bro (Brunna),4
Upplands-Bro (Centrala Bro),2
Upplands-Bro (Centrala Kungsängen),3
Upplands-Bro (Lillsjön-Sylta-Ålsta),4
Upplands-Bro (Norra Bro),4
Upplands-Bro (Norrboda-Tibble),4
Upplands-Bro (Rosenängarna-Österhagen),4
Upplands-Bro (Södra Bro-Önsta),3
Upplands-Bro (Upplands-Bro norra omland),4
Upplands-Bro (Upplands-Bro södra omland),3
Nykvarn (Nykvarn),4
Nykvarn (Taxinge),4
Nykvarn (Turinge),4
Täby (Arninge-Ullna),4
Täby (Byle),5
Täby (Ella Gård),5
Täby (Ella Park),5
Täby (Ensta),4
Täby (Erikslund),5
Täby (Gribby-Kohagen),4
Täby (Gribby-Myräng),5
Täby (Karlsund),5
Täby (Lahäll),4
Täby (Midgård),4
Täby (Nytorp),4
Täby (Näsby Park),5
Täby (Näsby Slott),5
Täby (Näsbydal),4
Täby (Roslags-Näsby),5
Täby (Runborg),5
Täby (Skarpäng),5
Täby (Tibble),4
Täby (Täby Centrum),4
Täby (Täby Park),4
Täby (Vallabrink),5
Täby (Vallatorp),5
Täby (Viggbyholm),5
Täby (Visinge),5
Täby (Västra Hägernäs),5
Täby (Östra Hägernäs),4
Danderyd (Danderyd centrala västra),4
Danderyd (Danderyd centrala östra),4
Danderyd (Danderyd västra),5
Danderyd (Djursholm norra),4
Danderyd (Djursholm södra),5
Danderyd (Enebyberg),5
Danderyd (Stocksund),5
Sollentuna (Bagarby),2
Sollentuna (Edsberg),3
Sollentuna (Edsviken-Kummelby),5
Sollentuna (Eriksberg-Fågelsången),4
Sollentuna (Falkberget-Södra Sjöberg),5
Sollentuna (Gillbo-Gillberga),5
Sollentuna (Helenelunds centrum),4
Sollentuna (Häggvik-Klasro),4
Sollentuna (Knista),4
Sollentuna (Landsnora-Kvarnskogen),4
Sollentuna (Norrviken),4
Sollentuna (Nytorp-Hersby-Skansen),5
Sollentuna (Rotebro centrum),3
Sollentuna (Rotsunda),3
Sollentuna (Sjöbergs centrum),4
Sollentuna (Sollentuna centrum),4
Sollentuna (Tegelhagen-Silverdal),5
Sollentuna (Töjnan),5
Sollentuna (Vaxmora-Väsjön),4
Sollentuna (Viby-Järvafältet),5
Stockholm (Abrahamsberg),4
Stockholm (Akalla),2
Stockholm (Alvik),4
Stockholm (Aspudden),4
Stockholm (Bagarmossen),3
Stockholm (Bandhagen),3
Stockholm (Beckomberga),4
Stockholm (Björkhagen),4
Stockholm (Blackeberg),4
Stockholm (Bredäng),3
Stockholm (Bromma kyrka),5
Stockholm (Bromsten),3
Stockholm (Bällsta),5
Stockholm (Djurgården),4
Stockholm (Eneby),5
Stockholm (Engelbrekts kyrka),4
Stockholm (Enskede Gård),4
Stockholm (Enskededalen),4
Stockholm (Enskedefältet),4
Stockholm (Fagersjö),3
Stockholm (Farsta),3
Stockholm (Flysta),4
Stockholm (Fredhäll),4
Stockholm (Fruängen),4
Stockholm (Gamla Enskede),4
Stockholm (Grimsta),2
Stockholm (Gröndal),4
Stockholm (Gubbängen),4
Stockholm (Gustav Vasa),4
Stockholm (Gärdet),4
Stockholm (Hagsätra),3
Stockholm (Hammarbyhöjden),4
Stockholm (Hedvig Eleonora),4
Stockholm (Herrängen),5
Stockholm (Hjorthagen-Värtahamnen),5
Stockholm (Husby),1
Stockholm (Hägersten),4
Stockholm (Hägerstensåsen),4
Stockholm (Hässelby Gård),2
Stockholm (Hässelby Strand),3
Stockholm (Hässelby Villastad),4
Stockholm (Högdalen),3
Stockholm (Höglandet),5
Stockholm (Hökarängen),3
Stockholm (Johanneshov),4
Stockholm (Kista),3
Stockholm (Klara-Jacob),4
Stockholm (Kristineberg),4
Stockholm (Kungsholm),5
Stockholm (Kälvesta),4
Stockholm (Kärrtorp),4
Stockholm (Larsboda),4
Stockholm (Liljeholmen),4
Stockholm (Lilla Essingen),4
Stockholm (Liseberg),4
Stockholm (Långbro),5
Stockholm (Långsjö),5
Stockholm (Mariatorget),4
Stockholm (Marieberg),4
Stockholm (Mariehäll),4
Stockholm (Mellersta Högalid),4
Stockholm (Midsommarkransen),4
Stockholm (Mälarhöjden),5
Stockholm (Nockeby),5
Stockholm (Nockebyhov-Olovslund),5
Stockholm (Norra Adolf Fredrik),4
Stockholm (Norra Högalid),4
Stockholm (Norra Johannes),4
Stockholm (Norra Skarpnäcks Gård),3
Stockholm (Norra Sofia),4
Stockholm (Norra Ängby),4
Stockholm (Nälsta),4
Stockholm (Oscars kyrka),4
Stockholm (Reimersholme-Långholmen),5
Stockholm (Riksby-Åkeshov),4
Stockholm (Rinkeby),1
Stockholm (Råcksta),4
Stockholm (Rågsved),2
Stockholm (Skärholmen),2
Stockholm (Sköndal),4
Stockholm (Smedslätten),5
Stockholm (Solberga),4
Stockholm (Solhem-Lunda),4
Stockholm (Stadshagen),4
Stockholm (Stora Essingen),4
Stockholm (Stora Mossen),5
Stockholm (Storkyrkan),4
Stockholm (Stureby),4
Stockholm (Sundby),4
Stockholm (Svedmyra),4
Stockholm (Sydvästra Skarpnäcks gård-Orhem),4
Stockholm (Sätra),3
Stockholm (Södra Adolf Fredrik),4
Stockholm (Södra Hammarbyhamnen),5
Stockholm (Södra Högalid),4
Stockholm (Södra Johannes),4
Stockholm (Södra Sofia),4
Stockholm (Södra Station),5
Stockholm (Södra Ängby),5
Stockholm (Tallkrogen),4
Stockholm (Tekniska Högskolan),3
Stockholm (Tensta),1
Stockholm (Traneberg),4
Stockholm (Ulvsunda),4
Stockholm (Ulvsunda Industriområde),4
Stockholm (Universitetet),2
Stockholm (Vinsta),4
Stockholm (Vårberg),2
Stockholm (Vällingby),3
Stockholm (Västberga),4
Stockholm (Västertorp),3
Stockholm (Västra Farsta Strand-Farstanäset),4
Stockholm (Västra Katarina),4
Stockholm (Västra Matteus),4
Stockholm (Åkeslund),4
Stockholm (Ålsten),5
Stockholm (Årsta),4
Stockholm (Älvsjö),3
Stockholm (Äppelviken),5
Stockholm (Örby),4
Stockholm (Örby Slott),4
Stockholm (Östberga),3
Stockholm (Östra Farsta Strand),2
Stockholm (Östra Katarina),4
Stockholm (Östra Matteus),4
Stockholm (Östra Sankt Göran),5
Stockholm (Östra Skarpnäcks gård-Flaten-Skrubba),3
Södertälje (Blombacka),2
Södertälje (Brunnsäng),2
Södertälje (Bårsta östra),3
Södertälje (Enhörna-Ekeby),4
Södertälje (Enhörna-Sandviken),4
Södertälje (Fornhöjden),2
Södertälje (Geneta norra-Bårsta västra),1
Södertälje (Geneta södra-Vasa),3
Södertälje (Glasberga),4
Södertälje (Grusåsen norra-Bergvik),3
Södertälje (Grusåsen-Weda-Listonhill),2
Södertälje (Hovsjö),1
Södertälje (Hölö tätort),4
Södertälje (Järna centrum-Järna södra),4
Södertälje (Järna norra-Kallfors),3
Södertälje (Lina-Vattubrinken-Dammkärr),3
Södertälje (Mariekälla),4
Södertälje (Mölnbo tätort),3
Södertälje (Pershagen),4
Södertälje (Ragnhildsborg-Ritorp-Viksberg),4
Södertälje (Ronna centrum-Ronna Park-Västra Ronna),1
Södertälje (Ronna-Karlhov),2
Södertälje (Rosenlund-Hagaberg),3
Södertälje (Saltskog),3
Södertälje (Södertälje-Järna omland),4
Södertälje (Telge-Snäckviken-Torekälla),3
Södertälje (Värdsholmen-Södra),3
Södertälje (Västergård),3
Södertälje (Västra Hölö omland-Vårdinge),4
Södertälje (Östertälje-Gärtuna),4
Södertälje (Östra Hölö omland-Mörkö),4
Nacka (Alphyddan-Finntorp),4
Nacka (Björknäs),4
Nacka (Ektorp-Skuru),4
Nacka (Fisksätra),3
Nacka (Kvarnholmen-Henriksdal),4
Nacka (Nacka centrala),4
Nacka (Nacka strand-Jarlaberg),4
Nacka (Nordvästra Boo),5
Nacka (Nordöstra Boo),5
Nacka (Orminge),4
Nacka (Saltsjöbaden),5
Nacka (Sickla),5
Nacka (Storängen-Saltsjö Duvnäs),5
Nacka (Sydöstra Boo),5
Nacka (Södra Boo),5
Nacka (Älta-Erstavik),4
Sundbyberg (Centrala Sundbyberg Västra),4
Sundbyberg (Centrala Sundbyberg Östra),4
Sundbyberg (Duvbo-Tulemarken),4
Sundbyberg (Hallonbergen Västra),2
Sundbyberg (Hallonbergen Östra),3
Sundbyberg (Lilla Alby),4
Sundbyberg (Rissne),3
Sundbyberg (Stora Ursvik Nordvästra),4
Sundbyberg (Stora Ursvik Sydvästra),4
Sundbyberg (Stora Ursvik-Kymlinge-Brotorp),5
Sundbyberg (Storskogen-Ör),4
Solna (Arenastaden),4
Solna (Bagartorp-Agnesberg),4
Solna (Centrala Huvudsta),4
Solna (Filmstaden),5
Solna (Frösunda),4
Solna (Ingenting),4
Solna (Järvastaden),5
Solna (Kungshamra),2
Solna (Norra Bergshamra),4
Solna (Norra Hagalund-Haga norra),3
Solna (Norra Hagastaden),4
Solna (Norra Råsunda),4
Solna (Nya Ulriksdal-Södra Ritorp),5
Solna (Råstahem),5
Solna (Skytteholm),4
Solna (Solna centrum),4
Solna (Södra Bergshamra),4
Solna (Södra Hagalund),4
Solna (Södra Huvudsta),4
Solna (Södra Råsunda-Solna Business park),4
Solna (Vasalund-Kyrkbacken),4
Solna (Västra skogen-Pampas),4
Lidingö (Baggeby-Bodal-Larsberg),4
Lidingö (Bo-Ruboda-Bosön),5
Lidingö (Brevik-Käppala-Gåshaga),4
Lidingö (Dalénum-Skärsätra södra),5
Lidingö (Elfvik-Duvholmen-Stora Höggarn),5
Lidingö (Hersby-Herserud-Islinge södra),5
Lidingö (Högsätra),3
Lidingö (Lidingö centrum-Torsvik),4
Lidingö (Näset),4
Lidingö (Skärsätra norra),4
Lidingö (Sticklinge-Storholmen-Islinge norra),5
Lidingö (Stockby västra-Mosstorp-Bergsätra),4
Lidingö (Stockby östra-Mölna-Ekholmsnäs),5
Vaxholm (Edholma-Kullö),5
Vaxholm (Resarö västra-Engarn-Storäng),5
Vaxholm (Resarö östra),5
Vaxholm (Rindö-Skarpö),4
Vaxholm (Vaxön mitt),4
Vaxholm (Vaxön västra-Bogesund),4
Vaxholm (Vaxön östra-Ramsö-Tynningö),4
Norrtälje (Bergshamra),4
Norrtälje (Frötuna),4
Norrtälje (Gransätra-Långgarn),4
Norrtälje (Hallstavik tätort),2
Norrtälje (Häverö),3
Norrtälje (Kvisthamra),4
Norrtälje (Lohärad-Estuna),4
Norrtälje (Nordrona),3
Norrtälje (Norrtälje centrala stad),4
Norrtälje (Norrtälje södra stad),4
Norrtälje (Norrtälje östra landsbygd),3
Norrtälje (Riala-Länna-Rö-Rimbo),4
Norrtälje (Rimbo tätort),3
Norrtälje (Roslagsbro-Väddö),4
Norrtälje (Rådmansö),4
Norrtälje (Solbacka-Fågelsången),5
Norrtälje (Vigelsjö),2
Norrtälje (Vätö-Väddö-Björkö-Arholma),4
Norrtälje (Yxlan-Blidö),3
Norrtälje (Älmsta),3
Norrtälje (Övre Bryggårdsgärdet-Färsna),4
Sigtuna (Arenberga-Västra Norrbacka),4
Sigtuna (Björkbacka-Tilsjö),3
Sigtuna (Broby),3
Sigtuna (Centrala Märsta),3
Sigtuna (Centrala Valsta),1
Sigtuna (Ekilla),3
Sigtuna (Malmen-Pilsbo),4
Sigtuna (Märsta Östra omland),4
Sigtuna (Märstadal),3
Sigtuna (Odensala-Arlanda omland),4
Sigtuna (Rosersberg),4
Sigtuna (Sigtuna centrala),3
Sigtuna (Sigtuna norra),4
Sigtuna (Sjudargården-Prästängarna),4
Sigtuna (Skånela-Steningevik omland),4
Sigtuna (Steningehöjden-Ölsta by),4
Sigtuna (Sätuna),3
Sigtuna (Södra Valsta),1
Sigtuna (Til-Munkholmen),5
Sigtuna (Tingvalla),1
Sigtuna (Västra Valsta),2
Sigtuna (Östra Norrbacka),2
Sigtuna (Östra Steninge),4
Sigtuna (Östra Valsta),2
Nynäshamn (Nynäshamns nordöstra kommundel),4
Nynäshamn (Nynäshamns stad-norra),3
Nynäshamn (Nynäshamns stad-södra),4
Nynäshamn (Nynäshamns stad-västra),2
Nynäshamn (Nynäshamns stad-östra),3
Nynäshamn (Nynäshamns södra kommundel),4
Nynäshamn (Nynäshamns västra kommundel),4
Nynäshamn (Ösmo centrala),3
Håbo (Centrala Bålsta-Mansängen),2
Håbo (Dyarne-Fånäs-Kalmarsand),4
Håbo (Håbo landsbygd),4
Håbo (Norra Ullevi-Södra Ullevi-Åsen),4
Håbo (Skörby-Gillmarken-Åkerby),4
Håbo (Slottsskogen-Söderskogen),4
Håbo (Södra Bålsta-Kalmar landsbygd),4
Håbo (Västerdalen-Eneby-Väppebyberget),4
Håbo (Västerhagen-Västerängen),4
Håbo (Västerskog-Graneberg),4
Älvkarleby (Skutskär centrala-Skutskär nordvästra),2
Älvkarleby (Skutskär nordöstra),3
Älvkarleby (Skutskär södra),4
Älvkarleby (Älvkarleby),4
Älvkarleby (Älvkarlebys omland),3
Knivsta (Alsike norra),4
Knivsta (Alsike östra),5
Knivsta (Knivsta centrala),4
Knivsta (Knivsta södra),3
Knivsta (Knivsta västra),4
Knivsta (Knivsta östra),4
Knivsta (Lagga-Långhundra),4
Knivsta (Vassunda),4
Heby (Heby omland),4
Heby (Heby västra),3
Heby (Heby östra),3
Heby (Morgongåva tätort),2
Heby (Nora-Harbo omland),3
Heby (Tärnsjö tätort),2
Heby (Vittinge omland),4
Heby (Östervåla omland),3
Heby (Östervåla tätort),3
Tierp (Karlholm),3
Tierp (Mehedeby-Tobo),3
Tierp (Månkarbo-Vendel),4
Tierp (Skärplinge-Hållnäs),4
Tierp (Söderfors),2
Tierp (Tierp Centrum-Tierp Norra),4
Tierp (Tierp Södra),2
Tierp (Västland),4
Tierp (Örbyhus),3
Uppsala (Bergsbrunna),5
Uppsala (Björklinge),4
Uppsala (Bäcklösa-Ultuna-Södra Ulleråker),2
Uppsala (Bälinge-Lövstalöt),4
Uppsala (Främre Luthagen-Fjärdingen-Glunten),4
Uppsala (Gamla Gottsunda-Vårdsätra-Vreta),5
Uppsala (Gamla Uppsala),4
Uppsala (Gunsta-Marielund-Länna),4
Uppsala (Kungsängen),4
Uppsala (Kvarngärdet),3
Uppsala (Kåbo-Norra Rosendal),4
Uppsala (Lindbacken-Jälla),4
Uppsala (Löten),3
Uppsala (Mellersta Luthagen-Rickomberga),4
Uppsala (Mellersta Sala backe),2
Uppsala (Mellersta Valsätra-Gottsunda centrum-Östra Gottsunda),2
Uppsala (Norby-Norra Valsätra),5
Uppsala (Nordvästra Luthagen-Hällby),4
Uppsala (Norra Luthagen-Börjetull-Husbyborg),4
Uppsala (Norra Sala backe),4
Uppsala (Norra Sävja),3
Uppsala (Norra Ulleråker-Polacksbacken),4
Uppsala (Nyby),3
Uppsala (Nåntuna-Vilan),5
Uppsala (Slavsta-Fyrislund-Danmarksby),4
Uppsala (Sommarro-Kungsgärdet),4
Uppsala (Studentstaden),2
Uppsala (Sunnersta),4
Uppsala (Sydöstra Luthagen),4
Uppsala (Södra Rosendal-Malma gård),4
Uppsala (Södra Sala backe),4
Uppsala (Södra Sävja),3
Uppsala (Södra Valsätra-Norra Gottsunda),1
Uppsala (Uppsala centrum),4
Uppsala (Uppsala inre norra omland),4
Uppsala (Uppsala inre östra omland),4
Uppsala (Uppsala nordvästra omland),4
Uppsala (Uppsala nordöstra centrum-Höganäs),4
Uppsala (Uppsala sydöstra Centrum-Västra Fålhagen),4
Uppsala (Uppsala västra omland),4
Uppsala (Uppsala yttre norra omland),4
Uppsala (Uppsala yttre östra omland),4
Uppsala (Vattholma),5
Uppsala (Vänge),4
Uppsala (Västra Eriksberg-Håga),4
Uppsala (Västra Flogsta),2
Uppsala (Västra Gottsunda),1
Uppsala (Västra Gränby),2
Uppsala (Västra Kapellgärdet),5
Uppsala (Västra Stenhagen),3
Uppsala (Västra Storvreta),4
Uppsala (Västra Svartbäcken-Tuna backar),4
Uppsala (Årsta),4
Uppsala (Östra Eriksberg),2
Uppsala (Östra Flogsta-Ekeby-Berthåga),4
Uppsala (Östra Fålhagen-Boländerna),4
Uppsala (Östra Gränby-Brillinge),3
Uppsala (Östra Kapellgärdet),3
Uppsala (Östra Stenhagen-Kvarnbo),2
Uppsala (Östra Storvreta),5
