Kommun,Kommunnamn,DeSO_2018,RegSO_2020,RegSOkod_2020,socioekonomiskt_index
114,Upplands Vasby,0114C1010,Bollstanas,0114R001,4
114,Upplands Vasby,0114C1030,Bollstanas,0114R001,4
114,Upplands Vasby,0114C1050,Bollstanas,0114R001,4
114,Upplands Vasby,0114C1180,Hammarby-Vaxmyra,0114R002,4
114,Upplands Vasby,0114C1220,Hammarby-Vaxmyra,0114R002,4
114,Upplands Vasby,0114C1100,Odenslunda norra-Frestaby-Ekeby,0114R003,4
114,Upplands Vasby,0114C1140,Odenslunda norra-Frestaby-Ekeby,0114R003,4
114,Upplands Vasby,0114C1020,Odenslunda sodra-Bredden,0114R004,4
114,Upplands Vasby,0114C1070,Odenslunda sodra-Bredden,0114R004,4
114,Upplands Vasby,0114C1160,Runby norra,0114R005,4
114,Upplands Vasby,0114C1060,Runby sodra-Ed,0114R006,4
114,Upplands Vasby,0114C1110,Runby sodra-Ed,0114R006,4
114,Upplands Vasby,0114C1170,Skalby-Brunnby Vik,0114R007,3
114,Upplands Vasby,0114C1190,Skalby-Brunnby Vik,0114R007,3
114,Upplands Vasby,0114C1040,Smedby sodra-Alvsunda,0114R008,3
114,Upplands Vasby,0114C1080,Upplands Vasby centrum-Smedby norra,0114R009,2
114,Upplands Vasby,0114C1090,Upplands Vasby centrum-Smedby norra,0114R009,2
114,Upplands Vasby,0114A0010,Upplands Vasby omland,0114R010,4
114,Upplands Vasby,0114C1120,Vilunda vastra,0114R011,4
114,Upplands Vasby,0114C1150,Vilunda vastra,0114R011,4
114,Upplands Vasby,0114C1130,Vilunda ostra,0114R012,3
114,Upplands Vasby,0114C1200,Vilunda ostra,0114R012,3
114,Upplands Vasby,0114C1210,Vilunda ostra,0114R012,3
115,Vallentuna,0115B3010,Karby-Brottby,0115R001,4
115,Vallentuna,0115B2010,Lindholmen,0115R002,4
115,Vallentuna,0115C1060,Vallentuna centrala tatort,0115R003,4
115,Vallentuna,0115C1070,Vallentuna centrala tatort,0115R003,4
115,Vallentuna,0115C1090,Vallentuna centrala tatort,0115R003,4
115,Vallentuna,0115C1110,Vallentuna centrala tatort,0115R003,4
115,Vallentuna,0115A0010,Vallentuna landsbygd,0115R004,4
115,Vallentuna,0115A0020,Vallentuna landsbygd,0115R004,4
115,Vallentuna,0115A0030,Vallentuna landsbygd,0115R004,4
115,Vallentuna,0115A0040,Vallentuna landsbygd,0115R004,4
115,Vallentuna,0115C1010,Vallentuna sodra tatort,0115R005,5
115,Vallentuna,0115C1020,Vallentuna sodra tatort,0115R005,5
115,Vallentuna,0115C1030,Vallentuna sodra tatort,0115R005,5
115,Vallentuna,0115C1040,Vallentuna sodra tatort,0115R005,5
115,Vallentuna,0115C1080,Vallentuna vastra tatort,0115R006,4
115,Vallentuna,0115C1130,Vallentuna vastra tatort,0115R006,4
115,Vallentuna,0115C1050,Vallentuna ostra tatort,0115R007,4
115,Vallentuna,0115C1100,Vallentuna ostra tatort,0115R007,4
115,Vallentuna,0115C1120,Vallentuna ostra tatort,0115R007,4
117,Osteraker,0117C1130,Berga,0117R001,4
117,Osteraker,0117C1140,Berga,0117R001,4
117,Osteraker,0117C1150,Berga,0117R001,4
117,Osteraker,0117C1030,Brevik-Lervik-Flaxenvik,0117R002,5
117,Osteraker,0117C1080,Brevik-Lervik-Flaxenvik,0117R002,5
117,Osteraker,0117C1120,Hacksta-Centrumomradet,0117R003,4
117,Osteraker,0117A0020,Ljustero-omkringliggande skargard,0117R004,4
117,Osteraker,0117C1070,Margeretelunds centrum,0117R005,4
117,Osteraker,0117C1090,Margeretelunds centrum,0117R005,4
117,Osteraker,0117C1110,Norrgardshojden,0117R006,3
117,Osteraker,0117A0030,Roslagskulla-Furusundsleden,0117R007,4
117,Osteraker,0117A0010,Rydbo,0117R008,4
117,Osteraker,0117C1160,Skansta-Singo,0117R009,4
117,Osteraker,0117C1190,Skansta-Singo,0117R009,4
117,Osteraker,0117C1170,Stava-Smedby-Sjokarby,0117R010,4
117,Osteraker,0117C1180,Stava-Smedby-Sjokarby,0117R010,4
117,Osteraker,0117C1200,Stava-Smedby-Sjokarby,0117R010,4
117,Osteraker,0117C1010,Svinninge,0117R011,5
117,Osteraker,0117C1020,Svinninge,0117R011,5
117,Osteraker,0117C1100,Sora,0117R012,4
117,Osteraker,0117C1060,Tuna,0117R013,5
117,Osteraker,0117C1050,Taljo-Runo,0117R014,5
117,Osteraker,0117C1040,Osterskar,0117R015,5
120,Varmdo,0120C1190,Bjornkarret-Nyhem,0120R001,4
120,Varmdo,0120C1210,Djuro-Vindo,0120R002,4
120,Varmdo,0120C1080,Farstalandet-Charlottendal,0120R003,4
120,Varmdo,0120C1110,Farstalandet-Charlottendal,0120R003,4
120,Varmdo,0120C1090,Hagaberg,0120R004,5
120,Varmdo,0120C1130,Hemmesta,0120R005,4
120,Varmdo,0120C1160,Hemmesta,0120R005,4
120,Varmdo,0120C1040,Herrviksnas-Stromma-Hasselmara,0120R006,4
120,Varmdo,0120C1030,Ingaro norr,0120R007,4
120,Varmdo,0120C1060,Ingaro norr,0120R007,4
120,Varmdo,0120C1010,Ingaro soder,0120R008,4
120,Varmdo,0120C1020,Ingaro soder,0120R008,4
120,Varmdo,0120C1140,Kvarnberget-Hasthagen,0120R009,4
120,Varmdo,0120C1180,Munkmora-Osby grind,0120R010,3
120,Varmdo,0120C1100,Mortnas,0120R011,5
120,Varmdo,0120A0010,Norra Vardolandet-Skargarden,0120R012,4
120,Varmdo,0120C1200,Norra Vardolandet-Skargarden,0120R012,4
120,Varmdo,0120C1220,Ormingelandet,0120R013,4
120,Varmdo,0120C1070,Skeppsdalsstrom,0120R014,4
120,Varmdo,0120C1050,Stavsnas,0120R015,3
120,Varmdo,0120C1230,Torsby,0120R016,4
120,Varmdo,0120C1150,Alvsala-Skarmaro,0120R017,4
120,Varmdo,0120C1120,Osbydalen-Holmviksskogen,0120R018,4
120,Varmdo,0120C1170,Ostra Ekedal-Hojdhagen,0120R019,5
123,Jarfalla,0123C1030,Barkarby vastra-Skalby ostra,0123R001,4
